name,category,calories,protein,carbs,fats
Easy Cheesy Broccoli Artichoke And Chicken Bake  Crock Pot,dinner,359.5,67.0,11.0,14.0
Green Olive Relish,snack,1642.9,30.0,17.0,261.0
Jessica S Famous Tuna Patties,lunch,917.5,180.0,13.0,65.0
Sliced Lemon Pistachio Chicken Over Greens,lunch,202.8,52.0,3.0,9.0
Cowboy Breakfast Bake,breakfast,508.2,56.0,6.0,53.0
Old Fashioned Hot Open Faced Roast Beef Sandwich,lunch,309.2,17.0,17.0,9.0
Hobo Breakfast Special,breakfast,876.9,68.0,14.0,95.0
Low Fat Pancakes,breakfast,55.7,5.0,3.0,0.0
Spicy Black Bean Dip,breakfast,157.1,19.0,9.0,2.0
Pink Cole Slaw,dinner,169.7,4.0,5.0,17.0
Pepin S Penne  Ham And Vegetable Gratin,breakfast,622.4,55.0,19.0,48.0
Light Creamy Cauliflower,lunch,98.0,9.0,3.0,8.0
Million Dollar Fudge,dessert,304.9,4.0,18.0,13.0
Grape Juice Refresher,lunch,47.6,0.0,3.0,0.0
Weight Watchers Taco Bean Soup,lunch,25.8,1.0,2.0,0.0
Ricotta Al Caffe,breakfast,88.1,0.0,7.0,0.0
Darlene Chicken,dinner,298.5,40.0,8.0,18.0
No Bake Chocolate Chip Cookie Pie,dessert,525.4,11.0,19.0,48.0
Lemon Ice Cream  No Ice Cream Maker And No Eggs,breakfast,555.9,6.0,18.0,61.0
Maple Pork And Apples,lunch,474.6,83.0,7.0,36.0
Pomegranate Potion,lunch,257.9,0.0,22.0,0.0
Protein Pumpkin Muffins,breakfast,27.7,2.0,1.0,0.0
Gorgonzola Canapes,breakfast,34.7,1.0,0.0,5.0
Pork Chops With Mustard Crumbs,lunch,322.6,45.0,0.0,37.0
New Year Fried Rice,lunch,203.8,11.0,12.0,4.0
Pound Cake S Mores,lunch,181.4,4.0,8.0,14.0
Pineapple Passion Smoothie,breakfast,165.4,0.0,14.0,0.0
Country Peach Tart,dessert,158.9,4.0,6.0,12.0
Baked Macaroni Pie With Cottage Cheese,breakfast,417.9,60.0,11.0,26.0
Simple Fresh Pear Ice,dessert,199.3,1.0,17.0,0.0
Kid Friendly Tuna Casserole,dinner,397.7,48.0,20.0,8.0
Avocado Pesto Pasta   Vegan,lunch,628.5,26.0,21.0,56.0
Im Sick Doctored Up Quick Soup,lunch,282.6,26.0,11.0,15.0
Maryland Crab Imperial,dinner,454.6,56.0,5.0,42.0
Roasted Fingerling Potato Salad,dinner,161.0,8.0,6.0,12.0
Low Carb Scalloped Zucchini,breakfast,299.9,40.0,2.0,32.0
Boss Worthy Chipotle Chicken Chowder,dinner,286.9,14.0,10.0,24.0
Apricot Orange Balls,snack,69.1,2.0,3.0,4.0
Crock Pot Pot Pie,dessert,434.9,44.0,18.0,21.0
Thai Prawn And Pineapple Curry   Kaeng Khua Saparot,lunch,271.9,13.0,3.0,37.0
Cosmopolitano,lunch,110.3,0.0,1.0,0.0
Vichyssoise Cream Of Leek,dinner,173.4,12.0,5.0,15.0
Roast Chicken With Italian Seasonings,dinner,813.8,126.0,1.0,89.0
Spring Peas With Pancetta,lunch,74.0,8.0,4.0,0.0
Jacques Ppin S Pear Chutney,dinner,234.6,5.0,16.0,6.0
Filipino Adobo  Pork Or Chicken  With Slow Cooker Variation,lunch,730.6,196.0,2.0,48.0
Delicious Lamb  Rosemary   Red Wine Casserole,dinner,469.6,46.0,3.0,48.0
Easy Enchiritos,breakfast,128.6,14.0,2.0,13.0
Party Size Greek Couscous Salad,breakfast,46.9,4.0,0.0,5.0
Halloween Waffles,breakfast,355.1,15.0,14.0,26.0
Lemon Yogurt Cupcakes,dessert,193.5,4.0,9.0,13.0
Pork Chops In Orange Pineapple Sauce,dinner,474.6,48.0,9.0,45.0
Mock Noodle Kugel  Using Spaghetti Squash  Low Carb  Fat Free,dinner,59.4,6.0,2.0,3.0
Eggnog   Light,breakfast,43.3,7.0,1.0,0.0
Grilled Teriyaki Chicken,lunch,171.4,51.0,1.0,8.0
Barbecued Santa Fe Chicken Sandwich,lunch,640.3,93.0,24.0,24.0
Mini Cheese Balls,breakfast,42.1,3.0,0.0,5.0
Strawberry Applenana Smoothie,lunch,190.4,10.0,13.0,2.0
Honey Dressing For Fruit Salad,lunch,1353.1,1.0,32.0,169.0
Savory Sweet Crock Pot Chicken,dinner,294.8,32.0,14.0,11.0
Spaghetti Alla Checca,lunch,846.8,56.0,29.0,63.0
Real English Shortbread Or 123 Shortbread,snack,1348.5,21.0,40.0,143.0
Delicious Whole Wheat Banana Bread,dinner,147.8,8.0,6.0,9.0
Pan Seared Tilapia,lunch,458.6,72.0,9.0,35.0
Cream Cheese Pineapple Pie,dessert,538.9,11.0,20.0,48.0
Salted Peanut Bread  For Bread Machine,dinner,224.8,17.0,10.0,12.0
Grits Cornbread,dinner,204.1,12.0,8.0,12.0
Crockpot Sweet And Saucy Chicken And Potatoes,dinner,309.1,13.0,23.0,2.0
Mini Flaky Pizza,snack,280.5,24.0,10.0,17.0
Clean Out The Fridge Pasta Sauce,dinner,405.1,17.0,9.0,40.0
Strapatsada,breakfast,433.1,28.0,3.0,57.0
Black Japonica Stuffing,dinner,87.8,11.0,3.0,4.0
Rag Alla Bolognese   The Authentic Recipe,dinner,561.5,34.0,25.0,27.0
French Bread With Roasted Garlic And A Hint Of Lavender,dinner,159.0,9.0,11.0,0.0
Chocolate Lover S Pumpkin Pie,dessert,516.6,21.0,21.0,38.0
English Seaside Tangy Tartar Sauce For Fish And Chips,breakfast,83.9,1.0,1.0,10.0
Cheesy Cauliflower Soup,breakfast,381.0,37.0,4.0,44.0
Tuna Mousse,snack,51.9,8.0,1.0,3.0
Risotto With Lemon And Basil,dinner,437.0,22.0,17.0,30.0
Chilli   Cheese Cornbread  With Polenta,dinner,729.6,51.0,26.0,53.0
Banana Cream Oatmeal,breakfast,206.0,11.0,13.0,4.0
Low Fat Spaghetti Or Fettuccine Carbonara,breakfast,368.8,48.0,15.0,14.0
Mediterranean Style Grilled Rib Steak,lunch,446.6,26.0,21.0,25.0
Czech Chocolate Pecan Cookies,snack,70.5,1.0,2.0,6.0
Green Beans With Mushrooms And Sage,dinner,167.6,7.0,3.0,20.0
Chilled Strawberry Soup,dinner,267.9,8.0,5.0,33.0
Best Basic Waffle,breakfast,536.5,26.0,16.0,48.0
Fresh Pear Salad With Asian Sesame Dressing,lunch,527.8,9.0,23.0,44.0
Barbecued Chilli And Cheese Mushrooms,snack,37.1,5.0,0.0,3.0
Creamy Chive Sauce,breakfast,303.3,4.0,1.0,45.0
Curry Apple Carrot Soup,dinner,157.9,8.0,7.0,10.0
Ginger Soy Flank Steak,snack,357.2,77.0,3.0,27.0
Pumpkin Cookies With Frosting,snack,153.0,2.0,6.0,11.0
German Cookies,snack,967.8,25.0,48.0,58.0
Fighter Biscuits,snack,177.5,13.0,3.0,18.0
Creamy Tomato  Basil    Garlic Cheese Tortellini Soup,dinner,616.6,29.0,16.0,65.0
Lone Star Steakhouse Black Bean Soup By Todd Wilbur,dinner,421.1,55.0,25.0,2.0
Sauteed Kidneys,lunch,127.0,1.0,0.0,18.0
Rezika S Cheese   Potato Bourek  Algerian Spring Rolls,breakfast,68.6,4.0,3.0,3.0
Bone In Chicken With Bacon   Thyme,dinner,936.8,114.0,3.0,113.0
Baked Stuffed Boneless Chicken Breasts,dinner,346.8,68.0,6.0,19.0
A Peach Of A Cake,dessert,355.4,9.0,20.0,18.0
Spice Rubbed Pork Skewers With Tomatoes,lunch,198.1,49.0,2.0,11.0
Baked Moist Pork Chops,dinner,768.9,165.0,2.0,62.0
Caprese Style Grilled Chicken Breasts,lunch,388.4,67.0,6.0,28.0
Lemon Custard Cake,dessert,263.7,8.0,17.0,7.0
Chicken Parmesan With Basil Sauce,breakfast,641.4,36.0,21.0,54.0
Sugar Snap Peas   Mushrooms,lunch,70.6,6.0,2.0,5.0
Seasoned Green Beans,lunch,69.3,4.0,2.0,5.0
Baked Beets   Shallots,dinner,114.0,4.0,6.0,3.0
Mozzarella  Tomato   Pesto Bruschette,snack,682.4,50.0,24.0,49.0
Peppered Pork Chops,snack,307.3,50.0,4.0,27.0
North Croatian Deer Goulash,dinner,434.7,83.0,2.0,28.0
Mini Orange Poppy Seed Pancakes,breakfast,403.3,26.0,14.0,30.0
Tuna Steaks With Pineapple Sauce,dessert,102.0,1.0,3.0,10.0
Provoleta,breakfast,424.3,58.0,1.0,50.0
Old Fashioned Home Made English Crumpets For Tea Time,breakfast,129.4,8.0,8.0,1.0
Quick Madrid Pasta,lunch,377.9,18.0,16.0,25.0
Stawberry Vanilla Smoothie,lunch,208.2,12.0,11.0,9.0
Peppered Country Gravy,breakfast,96.8,9.0,3.0,6.0
Glazed Pork Tenderloin,dinner,372.1,36.0,17.0,16.0
